ذرية	ðurrijjah
سكسكة	saksaka
فتاة	fatah
مطحنة	mitˤħana
حمل	ħiml
بارزد	barzad
خشخاش	xaʃxaʃ
سياسة	sijasa
عيسى	ʕisa
ماه	maha
لغة	lʊʁə
وابور	wabur
تعزب	taʕazzaba
هجليج	hid͡ʒlid͡ʒ
فلاديمير	vladimir
مجلس	mad͡ʒlis
جيد	d͡ʒid
أورانيوم	ʔuranjum
هم	hamma
شافانج	ʃafanad͡ʒ
بدنة	badana
معتزلة	muʕtazila
طبي	tˤibbijj
جربندية	d͡ʒarabandijja
ناووس	nawus
ب	b
قبر	ɡabir
طلح	tˤalħ
تكدس	tukdas
سمن	sumna
رفس	rafasa
استضاف	istadˤafa
ضريبة	dˤariba
قسم	qassama
حب	ħabba
حرشف	ħarʃaf
خرنق	xirniq
مصلى	musˤallan
أشار	ʔaʃara
السويد	assuwajd
ترقوة	tarquwa
طاعون	tˤaʕun
مزدهر	mʊzdæhɪr
ترنج	turund͡ʒ
خرج	xurd͡ʒ
ضحك	dˤaħħaka
زجاجة	zud͡ʒad͡ʒa
موسيقا	musiqa
بعير	baʕir
جدوى	d͡ʒadwa
حوار	ħiwar
بحر	baħar
حبرج	ħubrud͡ʒ
استثمار	istiθmar
تواقف	tawaquf
سليل	salil
شهر	ʃahr
معجزات	muʕd͡ʒizat
مغلوب	maɣlub
عطارد	ʕutˤarid
رغف	ruɣuf
أمامي	ʔamamijj
اكتفاء	iktifaʔ
شريان	ʃirjan
معاداة	muʕadah
ذكر	ðakar
بذلة	biðla
ملاكمة	mulakama
عكاز	ʕukkaz
عيد	ʕida
جدد	d͡ʒudad
أين	ʔajn
بروناي	brunaj
حجاب	ħiʒab
صوف	sˤuf
أكل	ʔukul
أفرغ	ʔafraɣa
غرلة	ɣurla
رح	ruħ
هنغاري	hinɣarijj
الفرات	alfurat
تبغ	tibɣ
صندوق	sˤanduq
ورى	wɐrə
أريكة	ʔarika
براني	barranijj
سرداب	sirdæb
جذر	d͡ʒaððara
واجهة	wad͡ʒiha
حسنا	ħasunna
منصب	mansˤib
عراك	ʕirak
ملوكية	mulukijja
إزميل	ʔizmil
ملعقة	milʕaqa
أنتم	ʔantum
ج	d͡ʒ
ميثاق	miθaq
إنتاج	ʔintad͡ʒ
خرنباش	xaranbaʃ
تلك	tilka
قطران	qatˤran
مغن	muɣannin
تحرش	tuħarriʃa
حوجلة	ħawd͡ʒala
ربما	rubbama
باحث	baħiθ
نصاب	nasˤsˤab
فلس	falasa
خبر	xabbara
حادث	ħadaθa
سليخة	salixa
كيف	kajjafa
هنغاريا	hanɣarija
عيني	ʕajnijj
شبعان	ʃabʕan
نحن	naħnu
نشل	naʃl
ث	θaʔ
رد	rid
مذيع	muðiʕ
بقي	biɡi
نفوذ	nafuð
بوذية	buðijja
مشط	muʃtˤ
سافانا	safana
كسرة	kasra
أجاب	ʔud͡ʒabu
أحاط	ʔuħatˤu
قريب	qarib
جراحة	d͡ʒiraħa
أوجد	ʔawd͡ʒada
بقس	baqs
مبكر	mubakkir
مكان	makan
دين	din
بيلادونا	biladuna
بضاعة	bidˤaʕa
بزق	bazaqa
نشادر	nuʃadir
قهوة	ɡahwɛ
رقبة	raqaba
رقم	raɡim
خبط	xabtˤ
مصطار	musˤtˤar
ذكر	ðikr
دشداشة	diʃdaʃa
قرمزي	qirmizijj
تايوان	tajwan
فسح	fasħ
حلقوم	ħulqum
ملك	malk
شوى	ʃawa
باقة	baqa
معطف	miʕtˤaf
شابانك	ʃabanak
حصرم	ħisˤrim
درجة	darad͡ʒa
آخرة	ʔaxira
دين	dina
هود	hawwada
جسماني	d͡ʒusmanijj
بحريني	baħrajnijj
استنفاد	istinfad
ليبيا	libija
إردب	ʔardabb
مكتب	maktab
ارتقب	irtaqaba
مفك	mifakk
عاطف	ʕatˤif
لواء	liwaʔ
تحكيم	taħkim
منطقة	mintˤaqa
جنة	d͡ʒanna
اشهل	iʃhalla
أسطول	ʔustˤul
بصير	basˤir
تنفس	tunfasa
متشكر	mutaʃakkir
منقار	minɡar
استبحر	istabħara
هزيمة	hazima
سوق	sawwaqa
وقود	waqud
كوريا	korija
بري	barri
ملاقاة	mulaqah
كرك	kurk
غضاضة	ɣadˤadˤa
فارع	færiʕ
اصطك	isˤtˤakka
قلب	qalb
سنبوسق	sambusaq
جنيه	ɡuneh
أي	ʔajj
أشكل	ʔaʃkal
ض	ɮˤ
ثم	θamma
كفات	kifat
الاثنين	ʔaliθnajni
خواتم	xawatim
فدن	fadan
وضح	wadˤaħa
كنز	kanz
ذليل	ðalil
يوجوسلافيا	juɡoslavija
رخخة	rixaxa
كافر	kafir
مرتفع	murtafiʕ
تأوه	taʔawwuh
دم	dam
لها	laha
فوطة	futˤa
جدر	d͡ʒadura
نقحر	naqħara
ربوة	rubwa
كرها	karhan
نمط	namatˤ
قوقعة	qawqaʕa
دائرة	daʔirah
مخطوب	maxtˤub
عبودية	ʕubudijjah
شريان	ʃarjan
تنفس	tunaffisu
أيهقان	ʔajhuqan
هذا	hada
نورس	nawras
مشاية	maʃʃaja
صاد	sˤada
ثانوي	θanawijj
سكرتير	sikritir
تسعون	tasʕawna
سينمائي	sijnamaʔijj
واقعي	waqiʕijj
لك	lakk
ناقض	naqidˤ
أوزبكستان	ʔuzbakistan
ي	jaʔ
بطالة	batˤala
طومار	tˤumar
ريوند	riwand
عادة	ʕada
لله	lillah
ألمانيا	ʔalmanija
فلسطين	falastˤin
سنونية	sununija
معجزة	mʊʕd͡ʒɪza
سروال	sirwal
رساطون	rasatˤun
طلا	tˤalan
خزانة	xizana
حرامي	ħaramijj
بقس	buqs
قاض	qadˤa
دومان	duman
ظبي	ðˤabj
تعلة	taʕilla
قاسم	qasim
استدعى	istadʕa
تفاحة	tuffaħa
أصهب	ʔasˤhab
تحالف	taħaluf
حرير	ħɑrir
سليقة	saliqa
صابح	sˤabaħa
جمجمة	d͡ʒumd͡ʒuma
سحاب	saħab
كيف	kajf
إبرة	ʔibra
خارجي	xarid͡ʒijj
صنعة	sˤanʕa
طائر	tˤaʔir
حمل	ħaml
نرويجية	nurwid͡ʒijja
رياضة	rijadˤa
أمراء	ʔumaraʔ
مجلة	mad͡ʒalla
لحظ	laħaðˤa
سكين	sikkin
مضمار	midˤmar
هدهد	hadhada
قشر	ɡaʃʃar
شبوط	ʃabbutˤ
ديسق	disaq
مشربة	maʃraba
تنزانيا	tanzanja
تحت	taħtu
طعام	tˤaʕam
فاثور	faθur
بعثران	baʕθaran
تكدس	takdis
رمى	rama
دولي	dawlijj
يسار	jusarra
تدخين	tadxin
طرمبة	tˤromba
محام	muħamin
سريع	sariʕ
دقيق	daɡiɡ
تالي	tali
مصفاة	misˤfah
سيء	siʔa
سنونو	sununu
أ	ʔu
ثوم	θum
بلجيكي	bild͡ʒikijj
قداد	qidad
حمزة	ħamza
قرانيا	qaranija
توجو	toɡo
مسعور	masʕur
رجل	rad͡ʒil
أشل	ʔaʃalla
أشترغار	ʔuʃturɣar
كوسا	kusa
قاتم	qatim
مجرم	mud͡ʒrim
عجب	ʕad͡ʒd͡ʒaba
خراب	xarab
أزدرخت	ʔazdarxat
أفرع	ʔafruʕ
علني	ʕalanijj
لسان	lisan
ثلاثة	θalaθah
زكريا	zakarijja
أسياخ	ʔasjax
طوارئ	tˤawariʔ
شيطان	ʃajtˤan
أنبيق	ʔanbiq
ز	z
ناصور	nasˤur
غرق	ɣaraɡ
محاضرة	muħadˤira
خالف	xalafa
سفرة	sufra
نفض	nafadˤa
سحابة	saħaba
صودا	sˤoda
حجفة	ħad͡ʒafa
سكرجة	sukurrud͡ʒa
توأم	tawʔam
طلمبة	tˤulumba
غرابيل	ɣarabil
شاطئ	ʃatˤiʔ
نخل	naxl
فيديو	fidiju
تنحى	tanaħħa
طرطور	tˤartˤur
فيلم	film
فلس	fals
ا	ʔalif
طويل	tˤawil
محاور	maħawir
غلب	ɣaliba
ماهاراجا	maharad͡ʒa
ثم	θumma
وسام	wisam
شقة	ʃaqqa
كراز	kuraz
شدياق	ʃidjaq
لله	laɫɫah
سيخي	sixijj
إيجاد	ʔid͡ʒad
مجنون	mad͡ʒnun
عقيق	ʕaqiq
بدلة	badla
دوى	dawan
مؤشر	muʔaʃʃir
روح	rawħ
أرقان	ʔarɡan
قطران	qatˤaran
تكفيري	takfirijj
مؤلف	muʔallaf
اصطلاح	isˤtˤilaħ
امرأ	imraʔan
مهاجم	muhad͡ʒim
لألأ	laʔlaʔa
أخلاط	ʔaxlatˤ
قطعة	qitˤʕa
مربوط	marbutˤ
هجليج	had͡ʒlid͡ʒ
اقتاد	iqtada
طموح	tˤumuħ
زواج	zawad͡ʒ
أردمون	ʔardamun
سحم	saħam
جرابي	d͡ʒirabijj
نعوظ	nuʕuðˤ
قطع	qatˤtˤaʕa
إجاص	ʔid͡ʒd͡ʒasˤ
دزينة	dazzina
ضمان	dˤaman
وراثة	wiraθa
وظف	wuðˤuf
إباحي	ʔibaħijj
بريمة	barrima
تاجورة	tad͡ʒura
صدرية	sˤadrijja
تأسف	taʔassafa
سمك	samak
الأرثوذكسية	alʔurθuðuksijja
طبيب	tˤabib
معدات	muʕaddat
عل	ʕalla
شمندورة	ʃamandura
جاف	d͡ʒaff
تعالم	taʕalama
رقبة	raɡaba
مجاور	mud͡ʒawir
دستور	dustur
فضح	fadˤaħa
جبت	d͡ʒibt
أ	ʔ
و	o
درونج	darawnid͡ʒ
دوغ	duɣ
بسبب	bisababi
طاق	tˤaqa
كهرمان	kahraman
لئلا	liʔalla
هو	wahwa
فيديو	vidju
زرشك	zarraʃk
ترك	turk
كابلي	kabulijj
زغلول	zaɣlul
سبعة	sabʕa
بورما	burma
ذاب	ðaba
جفنة	d͡ʒafna
رقف	raqaf
عرعر	ʕarʕar
سلطوية	sultˤawijja
هن	hunna
كوب	kub
برعم	barʕama
مجمر	mid͡ʒmar
المرء	almarʔ
عجور	ʕad͡ʒd͡ʒur
نخاع	nuxaʕ
أغسطس	ʔaɣustˤus
يبروح	jabruħ
ذريع	ðariʕ
متعة	mutʕa
فراغ	furraɣ
بحيرة	buħajra
فركس	firkis
حرص	ħarasˤa
جبل	d͡ʒabal
محمد	maħmid
قرص	qarsˤ
طرز	tˤarraza
شمعة	ʃamaʕa
مري	murrijj
ضحك	dˤaħk
مسرحي	masraħijj
اندلع	indalaʕa
بيعة	biʕa
منفاخ	minfax
كراز	karraz
مدغشقر	madaɣaʃqar
محايد	muħajid
بطريركية	batˤrijarkijja
بساط	ʔabsitˤa
سؤال	suʔʔal
غواتيمالا	ɣwatimala
أفك	ʔafaka
نظف	naðˤðˤafa
ديماس	dimas
نخروبي	nuxrubijj
أين	ʔajna
تجنب	tad͡ʒannub
إمناء	ʔimnaʔ
معلم	muʕallim
شيء	ʃajʔ
أفرغ	ʔafraɣ
خرمال	xurmal
مسدس	musaddas
الصومال	asˤsˤumal
ضوأ	dˤawwaʔa
معتقل	muʕtaqal
إتاوة	ʔitawa
القرآن	alqurʔan
عاطفي	ʕatˤifijj
خاف	xafa
وجب	wad͡ʒd͡ʒaba
غربة	ʁʊrbɐ
تم	tamma
محاضر	muħadˤar
أنجدان	ʔand͡ʒudan
دنيا	dunja
أضمر	ʔadˤmar
نظر	naðˤara
دكتور	duktur
بظر	bɑðˤr
ديسق	dajsaq
ميمنة	majmana
قسطاس	qistˤas
أخامص	ʔaxamisˤ
جشاء	d͡ʒuʃaʔ
دجاج	dad͡ʒad͡ʒ
أسفراج	ʔasfarad͡ʒ
أدكن	ʔadkan
عقال	ʕuqqal
هل	hal
فصح	fasˤuħa
مجدد	mud͡ʒaddid
لذلك	liðalika
متأخرا	mutaʔaxxiran
مقع	maqaʕa
سبتمبر	sibtambir
تقدم	taqaddama
فرمل	farmala
عار	ʕara
مرآة	mirʔah
أساس	ʔasas
هجرة	hid͡ʒra
مخصوص	maxsˤusˤ
انبثق	inbaθaqa
إذا	ʔiða
سليلة	salila
بطاء	bitˤaʔ
قفص	qafasˤ
فسافس	fasafis
غرد	ɣarrada
لهجة	lahʒa
حاز	ħaza
تطوان	tatˤwan
سرقسطة	saraqustˤa
تسعة	tisʕa
تساوى	tusawa
معدة	maʕda
يربوز	jarbuz
عزى	ʕazza
قبو	qabw
أحول	ʔaħwal
اطرد	itˤtˤarada
قندهار	qunduhar
سيف	sajf
تونس	tunus
مثل	muθul
دخس	duxas
حقبة	ħiqba
قشدة	qiʃda
ادعى	iddaʕa
مصطلح	musˤtˤalaħ
كره	karh
أوشك	ʔawʃaka
غامض	ɣamidˤ
وصفة	wasˤfa
سماوي	samawijj
تناوم	tanawama
أسف	ʔasifa
أبرز	ʔabruz
صولجان	sˤawlad͡ʒan
جلاد	d͡ʒallad
السلفادور	assalfadur
تومان	tuman
دعا	daʕa
قاوونة	qawuna
قهوة	qahwa
شجا	ʃad͡ʒa
ديسمبر	disimbir
حقل	ħaql
همزة	humaza
فستان	fustan
النرويج	annurwid͡ʒ
شار	ʃarin
أقضى	ʔuqdˤa
إسماعيل	ʔismaʕil
استغنى	istaɣna
مغسلة	maɣsala
معهد	maʕhad
كوج	kud͡ʒ
مرماخور	marmaxur
تاج	tad͡ʒ
الجمعة	ald͡ʒumʕa
شمس	ʃams
إبليز	ʔibliz
ليت	lajta
انشقاق	inʃiqaq
معدة	maʕida
يسار	jusaru
دخان	duxan
نصراني	nasˤranij
ترانزستور	tranzistur
واقع	wɑqiʕ
كوشاد	kuʃad
قنينة	qinnina
مرجل	mird͡ʒal
ثمن	θumun
صدر	sˤudira
طلع	tˤalaʕa
شعبة	ʃiʕba
طيارة	tˤajjara
الصويرة	asˤsˤawira
شحاذ	ʃaħħað
عجيب	ʕad͡ʒib
حصرم	ħusˤrum
حمام	ħamam
استدل	istadalla
الأربعاء	alʔarbiʕaʔ
ذروة	ðurwa
مغرور	maɣrur
زربية	zarbijja
قاسم	ɡasim
شاشة	ʃaʃa
قنديل	qandil
تنديل	tindil
إنجليزي	ʔind͡ʒilizijj
ولد	walad
و	waw
خرقة	xirqa
قهوة	ʔahwa
كنار	kanar
زفر	zafara
عضوية	ʕudˤwijja
بنما	banama
دوري	dawrijj
رأي	raʔj
جاد	d͡ʒada
مثل	miθlu
قد	qud
أعزب	ʔaʕzab
فيروزي	fajruzijj
أثل	ʔaθla
دردي	durdijj
قائف	qaʔif
بساط	busutˤ
دورة	dawra
شوفان	ʃufan
الصين	asˤsˤin
صفد	sˤafada
إسرائيل	ʔisraʔil
أطفال	ʔatˤfal
أخت	ʔuxt
بليج	billid͡ʒ
قيافة	qijafa
أنموذج	ʔunmuðad͡ʒ
مرفوع	marfuʕ
عوار	ʕawar
أفريقيا	ʔafriqja
المغرب	almaɣrib
غضب	alɣadˤab
عرناس	ʕarnas
ممارسة	mumarasa
كرواتيا	kuruwatija
إزاء	ʔizaʔa
تجنى	tad͡ʒanna
ترك	tark
زنباع	zanbaʕ
منيرة	munira
ائتلف	iʔtalafa
منافس	munafis
و	wə
غلاء	ɣalaʔ
منهج	minhad͡ʒ
لاهور	lahur
خصوبة	xusˤuba
الأندلس	alʔandulus
مدرسة	mudarrisa
أن	ʔanna
سنوت	sannut
أسهل	ʔashul
شدا	ʃada
إصقنقور	ʔisˤqanqur
رادف	radafa
نستعليق	nastaʕliq
قلنسوة	qalansuwa
قبيلة	qbila
أعجمي	ʔaʕd͡ʒamijj
زنبوع	zanbuʕ
جمادى	d͡ʒumada
دورق	dawraq
لسان	lsan
كسوف	kusuf
استدعاء	istidʕaʔ
تمنى	tamana
جزئي	d͡ʒuzʔijj
هدد	haddada
ساء	saʔa
سيناء	sajnaʔ
شنبر	ʃambar
تشرفنا	taʃarrafna
نافورة	nafura
ملك	malaka
مخض	maxadˤa
اهتز	ihtazza
جنب	d͡ʒanaba
لؤلؤ	lawluʔ
سكر	sukkar
مرزبة	marzaba
زعط	zaʕatˤa
أعظ	ʔaʕaðˤðˤa
شمروخ	ʃumrux
تعصب	taʕasˤsˤaba
تفرغ	tafarruɣ
جبروت	d͡ʒabarut
فاحش	faħaʃa
تفوق	tafawwuq
مازريون	mazarjun
اعتنى	iʕtana
هائل	haʔil
تعشق	taʕaʃʃaqa
طيفورية	tˤajfurijja
مسلم	muslim
تجرد	tad͡ʒarrada
كبريت	kibrit
كيلوغرام	kiluɣram
قطمة	qatˤma
صفا	sˤafa
هندسة	handasa
مسمار	mismar
مجموع	mad͡ʒmuʕ
مؤسسة	muʔassisa
سطع	satˤaʕa
عنصل	ʕunsˤul
قاس	qasin
جنائي	d͡ʒinaʔijj
إنكار	ʔinkar
برمج	barmad͡ʒa
يرقة	jaraqa
مخلص	muxlisˤ
ابتهج	ibtahad͡ʒa
معدونس	maʕdunis
م	m
خبيئة	xabiʔa
بلس	balas
إكسينون	ʔiksinon
غلقة	ɣalqa
أكشف	ʔakʃafa
زكوة	zakah
نيلي	nilijj
عنكبوت	ʕankabut
طعن	tˤaʕn
نعل	naʕal
قريبا	qariban
زانية	zanija
مدحلة	midħala
تزدان	tazdana
مصعد	misˤʕad
تلقى	talaqqa
خلية	xalijja
ساعد	saʕid
نخاسة	nixasa
غمام	ɣamama
بحر	baħħara
قسم	qism
سيراليون	siralijun
خالد	xalid
ساعة	saʕa
فنجان	find͡ʒan
سخاب	sixab
إنترنت	ɪntərnət
هيبة	hiba
دير	dajr
فكة	fakka
إعلامي	ʔiʕlamijj
ثؤلول	θuʔlul
رحيم	raħim
قلقاسة	qulqasa
شرق	ʃarɡ
كوكبة	kawkaba
استنفد	istanfada
بيدق	bajdaq
مرقص	marqasˤ
أكمة	ʔakamah
خبر	xubr
ولو	walaw
تمسيح	tamsiħ
أولمبي	ʔulimbijj
كان	kana
أسى	ʔasan
نخلة	naxla
بينما	bajnama
لبن	laban
ميزان	mizan
سحم	saħħama
تكية	takijja
كتب	kattaba
أستاذ	ʔustað
كالون	kalun
أضمر	ʔadˤmara
كتان	kattan
زوراء	zawraʔ
أريحا	ʔariħa
اتهام	ittiham
سلطة	salatˤa
أديب	ʔadib
سوق	sawq
فك	fakka
طيون	tˤajjun
بلغم	balɣam
أدهش	ʔudhiʃu
رمضان	ramadˤan
نص	nasˤsˤ
و	u
وضب	wadˤdˤaba
حفر	ħafr
مخلص	muxallisˤ
مسعى	masʕan
نحل	naħl
ض	dˤ
حرز	ħirz
بواليع	bawaliʕ
أنواع	ʔanwaʕ
هاء	haʔ
وضاح	wadˤdˤaħ
ترسة	tirsa
هارون	harun
غواصة	ɣawwasˤa
لائحة	laʔiħa
معتبر	muʕtabir
تنفس	tunaffasu
رشفة	raʃfa
مرسم	marsam
غربة	ɣurba
هاته	hatihi
إمامة	ʔimama
نشل	naʃal
منزل	manzil
هندباء	hindibaʔ
شبابة	ʃabbaba
سلجم	sald͡ʒam
شاء	ʃaʔ
تطبيق	tatˤbiq
أتى	ʔata
ماجور	mad͡ʒur
مفرغ	mufarriɣ
مجلخة	mid͡ʒlaxa
ديانات	dijanat
أردف	ʔardafa
امرأة	imraʔa
شبح	ʃubiħa
ارتاح	irtaħa
كرز	karaz
تناسق	tanasuq
كاشف	kaʃif
عتاب	ʕitab
ديك	dik
لاهوتي	lahutijj
داليا	dalija
هجوم	hud͡ʒum
غفر	ɣafara
بكين	bikin
ميمون	majmun
علس	ʕalas
لهاث	luhaθ
معصم	miʕsˤam
رومانيا	rumanija
شهدانق	ʃahdanaq
زيارة	zijara
ء	ʔ
ملك	malik
حمل	ħamal
مالديفز	maldifz
بئس	baʔisa
سوفياتي	sovjetijj
نعل	naʕala
بلاذر	balaður
آمن	ʔamun
تحوز	taħawwaza
فيديو	vidjo
الحسيمة	alħusajma
حلتيث	ħiltiθ
أرصفة	ʔarsˤifa
توفى	tawaffa
عفريت	ʕifrit
عنق	ʕunaq
كوع	kuʕ
لم	lima
متانة	matana
فيلم	film
أشنة	ʔuʃna
وظيفة	waðˤifa
محبس	maħbas
مقاس	maɡas
خطئ	xatˤiʔa
سيماء	simaʔ
استيقظ	istajqaðˤa
برج	burd͡ʒ
زنزانة	zinzana
أبنوس	ʔabnus
امتعض	imtaʕadˤa
أناخ	ʔanaxa
أكل	ʔakkala
رواقية	riwaqijja
فوضى	fawdˤa
مدفع	madfaʕ
كتلة	kutla
شحاذة	ʃiħaða
خيرة	xira
بطن	batˤana
قرسطون	qarastˤun
جرعة	d͡ʒurʕa
قدم	qaduma
كاف	kaf
محب	muħabb
أفيون	ʔafjun
استخرج	istaxrad͡ʒa
نذير	naðir
مهرجان	mihrad͡ʒan
مهلة	muhla
شقاء	ʃaqaʔ
فلفل	filfil
أناقة	ʔanaqa
أغلب	ʔuɣlab
مدير	mudir
عفونة	ʕufuna
موقف	mawɡif
أفطس	ʔaftˤas
قرصعنة	qarsˤaʕanna
لمع	lamaʕa
بس	bass
أنتما	ʔantuma
لاسلطوي	lasultˤawijj
زرجون	zard͡ʒun
راع	raʕa
استفراغ	istifraɣ
ميثرة	miθara
كثيراء	kaθiraʔ
جمهور	d͡ʒumhur
ظاهري	ðˤahirijj
صفع	sˤafaʕa
غلط	ɣalatˤ
غرامي	ɣaramijj
أدحية	ʔudħija
أبان	bana
سكون	sukun
مظلة	maðˤalla
إي	ʔi
قيطون	ɡitˤon
حماسة	ħamasa
دكتور	doktor
ح	ħaʔ
كمبيوتر	kambjutar
جبان	d͡ʒaban
جنك	d͡ʒunk
حلقوص	ħalqusˤ
رجع	rud͡ʒuʕ
سمبوسة	sambusa
عازب	ʕazib
مبرة	mabarra
انتقم	intaqama
أمغر	ʔamɣara
أوعية	ʔawʕija
مثلجات	muθallad͡ʒat
متفرق	mutafarriq
أسرة	ʔasirra
ي	i
عاشب	ʕaʃib
فربيون	farbijun
سدر	sidr
سفرجل	safard͡ʒal
أخصائي	ʔaxisˤsˤaʔijj
ضيع	dˤajjaʕa
سموم	samum
معمودية	maʕmudijja
دافئ	dafiʔ
مرزبان	marzuban
إياك	ʔijjaki
كيلوغرام	kiluɣram
تنفس	tanfusu
آيسلندا	ʔajslanda
مولى	mawlan
رسالة	risala
كحلاء	kaħlaʔ
مداخل	madaxil
رابط	rabitˤ
أدهش	ʔudhaʃ
ماعونة	maʕuna
تحرير	tæħrir
صلى	sˤalla
سلح	sallaħa
نسيم	nasim
ذئبة	ðiʔba
قذة	quðða
هاون	hawun
بوصير	busˤir
كينيا	kinija
ضمران	dˤamran
ترك	tarraka
خفر	xafara
رب	rubba
محادثة	muħadaθa
هباء	habaʔ
خصوصي	xusˤusˤijj
أثناء	ʔaθnaʔa
أبرز	ʔabraz
علي	ʕalj
بحث	baħaθa
يقين	jaqin
سيرك	sirk
مضيق	madˤiq
مزبلة	mazbala
ك	kɑf
حصرم	ħasˤrama
بوليس	bulis
استكشاف	istikʃaf
ل	lam
غلط	ɣalitˤa
فوز	fawz
يسوع	jasuʕ
سكنجبين	sikand͡ʒubin
تكدس	tukaddisa
محراب	maħarib
جريد	d͡ʒarid
ولكن	walakɪna
أعاجيب	ʔaʕad͡ʒib
إنموذج	ʔinmuðad͡ʒ
قاف	qafa
من	mann
تلاشى	talaʃa
حرش	ħarraʃa
العراق	alʕiraq
وعاء	wiʕaʔ
هن	hinna
فاض	fadˤa
دب	dibb
جناح	d͡ʒunaħ
زخ	zaxx
سميط	samitˤ
أمضى	ʔamdˤa
شره	ʃariha
خطام	xitˤam
فقس	faqasa
شكوهج	ʃikuhad͡ʒ
سلطوي	sultˤawijj
وسع	wasiʕa
رمضان	ramdˤan
خزينة	xazina
الأردن	alʔurdun
أشهل	ʔaʃhal
كذاب	kazzab
قبر	qubbar
صبي	sˤabijj
بازهر	bazahr
أطبة	ʔatˤibba
ثعبان	θuʕban
واجه	wad͡ʒaha
زمام	zimam
تربة	turba
تنفس	tunfas
ث	θ
دونم	dunum
موكب	mawkib
أنا	ʔana
سبطانة	sabatˤana
مايو	maju
بطن	batˤn
حشيش	ħaʃiʃ
دقيق	daqiq
وظف	waðˤðˤafa
عوارية	ʕawarijja
الفلبين	alfilibbin
حصل	ħasˤsˤala
غرق	ɣiriɡ
نشيدة	naʃida
و	u
تذبذب	taðabðub
إذا	ʔiðan
مبالغة	mubalaɣa
ستون	sittuna
أطلع	ʔatˤlaʕa
أربعة	ʔarbiʕa
رد	radda
عجرم	ʕid͡ʒrim
شيك	ʃek
رصفاء	rusˤafaʔ
مسد	massada
تغيير	taɣjir
سلامتك	salamtik
قشر	qaʃʃara
تدليك	tadlik
استمتع	istamtaʕa
عسال	ʕassal
مدخن	mudaxxin
خبر	xabara
انشق	inʃaqqa
تكدس	takaddus
سوس	sawisa
هود	hawd
بلغاريا	bulɣarija
قرمل	qarmal
راقص	raqisˤ
انبث	imbaθθa
كاف	kafin
بند	band
تحرش	taħarraʃa
طاقم	tˤaqam
أدهش	ʔudhaʃa
أحسن	ʔuħassana
صعيد	sˤaʕid
لون	lawwana
كروية	kurawijja
مزرع	mazraʕ
أغلب	ʔuɣlabu
صفد	sˤaffada
شي	ʃajj
كثافة	kaθafa
عطلة	ʕutˤla
وقت	waqat
مراسل	murasil
زمزريق	zamzariq
المسيح	almasiħ
مستفرغ	mustafraɣ
أخشن	ʔaxʃan
تواضع	tawadˤaʕa
فرعون	firʕawn
مال	mal
اللهم	ʔaɫɫahumma
واسع	wasiʕ
شهق	ʃahaqa
ص	sˤad
عم	ʕamm
مراجع	murad͡ʒaʕ
فلاح	fallaħ
عانى	ʕana
قام	qōm
أهبة	ʔuhba
سنبوسك	sambusak
عتمة	ʕatama
كستيج	kustid͡ʒ
ثدييات	θadjijjat
شمال	ʃamal
سلوفينيا	slovenija
خرقة	xirɡa
موزامبيق	muzambiq
أكل	ʔakala
شمشار	ʃamʃar
كستج	kastad͡ʒ
منقض	munqadˤ
ظفر	ðˤifr
قرصن	qarsˤana
حرقدة	ħarqada
بطرك	batˤrak
إنسان	ʔinsan
مكناس	maknas
ميانمار	mijanmar
فلو	fuluww
فرغ	faraɣa
دواسة	dawwasa
إن	ʔin
عصا	ʕasˤa
شرق	ʃarq
صبر	sˤabbara
عبادة	ʕibada
قالب	qalab
حبق	ħabaq
إسحاق	ʔisħaq
ك	k
قال	ʔal
جيش	ɡeʃ
مناخي	manaxijj
نظرية	naðˤarijja
نعس	naʕasa
مرة	marratan
شرموطة	ʃarmutˤa
منتظم	muntaðˤam
باص	basˤ
تأمرك	taʔamraka
أحب	ʔaħabba
خلاص	xalasˤ
تحت	taħta
توراة	attawrah
محمدة	maħmida
عصيان	ʕisˤjan
كبر	kabura
مصدوم	masˤdum
ممحوق	mamħuq
فرقاطة	furɡatˤa
غزلي	ɣazalijj
هاون	hawana
كمر	kamar
جارية	d͡ʒarija
إرهابي	ʔirhabijj
فوضوية	fawdˤawijja
إعياء	ʔiʕjaʔ
عصب	ʕasˤsˤaba
طه	tˤaha
نهر	nahr
قطران	qatˤiran
كوم	kom
أحمر	ʔaħmar
هو	fahwa
أنوق	ʔanuq
كاشف	kaʃafa
عجورة	ʕad͡ʒd͡ʒura
شعب	ʃuʕab
تفاجأ	tafad͡ʒaʔa
رطب	rutˤab
دقيقة	daɡiɡa
تقضب	taqadˤdˤaba
رابع	rabiʕ
مشمش	miʃmiʃ
فراولة	farawila
افتراع	iftiraʕ
كون	kawwana
عالي	ʕali
غبن	ɣabn
صدغ	sˤudɣ
ريباس	ribas
استعان	istaʕana
صقاع	sˤiqaʕ
ديباج	dibad͡ʒ
أريكا	ʔarika
عبودية	ʕʊbudɛjə
سراويل	sarawil
حطاب	ħatˤtˤab
أجذاع	ʔad͡ʒðaʕ
مخروطي	maxrutˤijj
ي	j
أبكم	ʔabkam
فني	fanija
أعقد	ʔaʕɡad
حوول	ħuwila
حجامة	ħad͡ʒama
جزمازق	d͡ʒazmazaq
مستهلك	mustahlik
زمان	zaman
